,Product name in Flipkart,Retail Price in Flipkart,Discounted price in Flipkart,Product name in Amazon,Retail Price in Amazon,Discounted price in Amazon
57,Libas Printed Women's A-line Kurta,899.0,449.0,LIBAS PRINTED WOMEN'S A-LINE KURTA,887,570
58,Libas Printed Women's Anarkali Kurta,1849.0,924.0,LIBAS PRINTED WOMEN'S ANARKALI KURTA,1831,1142
59,MASARA Solid Women's Straight Kurta,999.0,499.0,MASARA SOLID WOMEN'S STRAIGHT KURTA,981,647
60,HRS ULTIMATE BOY Chest Pads,440.0,395.0,HRS ULTIMATE BOY CHEST PADS,427,491
61,Vermello Men Casual Brown Genuine Leather Belt,1495.0,795.0,VERMELLO MEN CASUAL BROWN GENUINE LEATHER BELT,1488,918
62,HRS CLUB BOY Thigh Pads,280.0,250.0,HRS CLUB BOY THIGH PADS,273,298
63,Ligans NY Men Formal Black Genuine Leather Belt,795.0,695.0,LIGANS NY MEN FORMAL BLACK GENUINE LEATHER BELT,794,868
64,Elegance Polyester Multicolor Abstract Eyelet Door Curtain,1899.0,899.0,ELEGANCE POLYESTER MULTICOLOR ABSTRACT EYELET DOOR CURTAIN,1898,1145
65,Liza Women Wedges,1990.0,1393.0,LIZA WOMEN WEDGES,1986,1707
66,HRS ULTIMATE BOY Elbow Pads,250.0,230.0,HRS ULTIMATE BOY ELBOW PADS,236,279
67,Sathiyas Cotton Bath Towel,600.0,449.0,SATHIYAS COTTON BATH TOWEL,582,568
68,HRS ULTIMATE MEN Chest Pads,440.0,395.0,HRS ULTIMATE MEN CHEST PADS,435,474
69,SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet,2699.0,1299.0,SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet,2695,1570
70,CASEDEAL Microsoft Nokia lumia x2 Back Panel,1999.0,380.0,CASEDEAL Microsoft Nokia lumia x2 Back Panel,1989,472
71,Mario Gotze Women's Printed Casual Orange Shirt,1499.0,899.0,Mario Gotze Women's Printed Casual Orange Shirt,1486,1162
72,Jaipur Print Cotton Floral King sized Double Bedsheet,2599.0,698.0,Jaipur Print Cotton Floral King sized Double Bedsheet,2595,864
73,Shilpi NHSCN003 Coin Bank,900.0,650.0,Shilpi NHSCN003 Coin Bank,880,787
74,Jaipur Print Cotton Floral King sized Double Bedsheet,2599.0,698.0,Jaipur Print Cotton Floral King sized Double Bedsheet,2589,806
75,Babeezworld Dungaree Baby Boy's  Combo,999.0,499.0,Babeezworld Dungaree Baby Boy's  Combo,997,565
76,Redbag Eight Armed Goddess Sherawali Maa Showpiece  -  10.8 cm,1600.0,1200.0,Redbag Eight Armed Goddess Sherawali Maa Showpiece  -  10.8 cm,1590,1487
77,"Proence Weight Gainers, Mass Gainers",1025.0,949.0,"Proence Weight Gainers, Mass Gainers",1010,1107
78,Discountgod Men's Checkered Casual Shirt,750.0,590.0,Discountgod Men's Checkered Casual Shirt,732,662
79,Silver Streak Men's Printed Casual Denim Shirt,1299.0,599.0,Silver Streak Men's Printed Casual Denim Shirt,1298,713
80,Reckler Slim Fit Men's Jeans,5398.0,2599.0,Reckler Slim Fit Men's Jeans,5383,3179
81,Wrangler Skanders Fit Men's Jeans,2795.0,1817.0,Wrangler Skanders Fit Men's Jeans,2785,2254
82,Wrangler Regular Fit Men's Jeans,3295.0,1812.0,Wrangler Regular Fit Men's Jeans,3279,2305
83,NE Regular Fit Men's Jeans,4999.0,1899.0,NE Regular Fit Men's Jeans,4988,2180
84,Roadster Skinny Fit Fit Men's Jeans,2499.0,1249.0,Roadster Skinny Fit Fit Men's Jeans,2495,1414
85,"ezyPRNT ""RH"" Golf Ball -   Size: 4.26 cm,  Diameter: 4.26 cm",1195.0,595.0,"ezyPRNT ""RH"" Golf Ball -   Size: 4.26 cm,  Diameter: 4.26 cm",1181,656
86,"ezyPRNT ""BC"" Golf Ball -   Size: 4,  Diameter: 4.26 cm",1195.0,595.0,"ezyPRNT ""BC"" Golf Ball -   Size: 4,  Diameter: 4.26 cm",1177,744
87,"ezyPRNT ""OL"" Golf Ball -   Size: 4.26 cm,  Diameter: 4.26 cm",1195.0,595.0,"ezyPRNT ""OL"" Golf Ball -   Size: 4.26 cm,  Diameter: 4.26 cm",1176,730
88,"ezyPRNT ""CV"" Golf Ball -   Size: 4,  Diameter: 4.26 cm",1195.0,595.0,"ezyPRNT ""CV"" Golf Ball -   Size: 4,  Diameter: 4.26 cm",1189,721
89,Traditions Printed Protective Men's Gloves,500.0,399.0,Traditions Printed Protective Men's Gloves,491,507
90,First Choice Cotton Embroidered Diwan Set,2199.0,979.0,First Choice Cotton Embroidered Diwan Set,2192,1178
91,Eccellente Solid Hip Hop Cap,899.0,336.0,Eccellente Solid Hip Hop Cap,879,422
92,Nechams Resin Magnetic Magnetic Melamine Small Whiteboards,1799.0,799.0,Nechams Resin Magnetic Magnetic Melamine Small Whiteboards,1798,977
93,Traditions Printed Protective Men's Gloves,500.0,399.0,Traditions Printed Protective Men's Gloves,485,442
94,First Choice Cotton Embroidered Diwan Set,2199.0,979.0,First Choice Cotton Embroidered Diwan Set,2197,1181
95,First Choice Cotton Embroidered Diwan Set,2199.0,979.0,First Choice Cotton Embroidered Diwan Set,2194,1090
96,JASPO Thunder Intact Superior Senior Skates Combo (skates+helmet+knee+elbow+bag)suitable for age upto 6 to 14 years Skating Kit,1399.0,770.0,JASPO Thunder Intact Superior Senior Skates Combo (skates+helmet+knee+elbow+bag)suitable for age upto 6 to 14 years Skating Kit,1380,923
97,Masaba for Magic fairy Girl's Layered Pink Dress,1775.0,1598.0,Masaba for Magic fairy Girl's Layered Pink Dress,1758,1840
98,Momin Libas AK2414 Kashibo Solid Abaya No,3999.0,2398.0,Momin Libas AK2414 Kashibo Solid Abaya No,3981,3033
99,ACM Pouch for Swipe Elite Plus,990.0,339.0,ACM Pouch for Swipe Elite Plus,989,376
100,A R ENTERPRISES musical wlking cow,999.0,299.0,A R ENTERPRISES musical wlking cow,995,361
101,First Choice Cotton Embroidered Diwan Set,2199.0,979.0,First Choice Cotton Embroidered Diwan Set,2186,1132
102,SANTOSH ROYAL FASHION Cotton Embroidered Diwan Set,2199.0,979.0,SANTOSH ROYAL FASHION Cotton Embroidered Diwan Set,2197,1135
103,First Choice Cotton Embroidered Diwan Set,2199.0,979.0,First Choice Cotton Embroidered Diwan Set,2195,1096
104,ShoeBuzz Casuals,799.0,247.0,ShoeBuzz Casuals,784,316
105,Zed Loafers,499.0,499.0,Zed Loafers,494,629
106,House This Queen Cotton Duvet Cover,1160.0,1160.0,House This Queen Cotton Duvet Cover,1145,1408
107,ACM Pouch for Intex Aqua Lions 3g,990.0,339.0,ACM Pouch for Intex Aqua Lions 3g,983,419
108,womaniya Alloy Bracelet,2000.0,1200.0,womaniya Alloy Bracelet,1992,1450
109,Taj Pearl Alloy Cuff,665.0,399.0,Taj Pearl Alloy Cuff,662,469
110,JASPO Saphire Dual Shoe Skates Combo Size 5 Skating Kit,2299.0,1270.0,JASPO Saphire Dual Shoe Skates Combo Size 5 Skating Kit,2293,1636
111,Taj Pearl Alloy Cuff,665.0,399.0,Taj Pearl Alloy Cuff,660,472
112,Bento Musical Teddy Bear,199.0,63.0,Bento Musical Teddy Bear,192,73
113,Wake Up Competition Full Sleeve Striped Men's Sweatshirt,1495.0,748.0,Wake Up Competition Full Sleeve Striped Men's Sweatshirt,1483,948
114,Taj Pearl Alloy Cuff,665.0,399.0,Taj Pearl Alloy Cuff,648,504
115,Taj Pearl Alloy Cuff,665.0,399.0,Taj Pearl Alloy Cuff,653,512
116,Cellbazaar Blackberry 8520 WHITE LCD LCD,5000.0,1000.0,Cellbazaar Blackberry 8520 WHITE LCD LCD,4990,1296
117,Dressberry Gold Synthetic  Clutch,1299.0,1299.0,Dressberry Gold Synthetic  Clutch,1279,1522
118,Mast & Harbour Black Synthetic  Clutch,1899.0,1899.0,Mast & Harbour Black Synthetic  Clutch,1882,2324
119,JQR JQR Sports Shoes Running Shoes,1299.0,1299.0,JQR JQR Sports Shoes Running Shoes,1286,1566
120,Sisel Printed Poly Cotton Women's Stole,299.0,128.0,Sisel Printed Poly Cotton Women's Stole,282,159
121,JQR JQR Sports Shoes Running Shoes,999.0,999.0,JQR JQR Sports Shoes Running Shoes,990,1218
122,"Knight Ace Kraasa Sports Running Shoes, Cycling Shoes, Walking Shoes",1299.0,499.0,"Knight Ace Kraasa Sports Running Shoes, Cycling Shoes, Walking Shoes",1289,580
123,Dressberry Gold Synthetic  Clutch,1299.0,1299.0,Dressberry Gold Synthetic  Clutch,1288,1560
124,"Great Art Floral Print Wool, Viscose, 20% Kashmiri wool, 50% Cashmilon and 30% Wool ruffle yarn Women's Stole",1099.0,493.0,"Great Art Floral Print Wool, Viscose, 20% Kashmiri wool, 50% Cashmilon and 30% Wool ruffle yarn Women's Stole",1079,571
125,Indistar Self Design Viscose Women's Stole,478.0,239.0,Indistar Self Design Viscose Women's Stole,474,277
126,Mast & Harbour Black Synthetic  Clutch,1899.0,1899.0,Mast & Harbour Black Synthetic  Clutch,1898,2130
127,Glacier Running Shoes,629.0,498.0,Glacier Running Shoes,621,630
128,Dressberry Black Synthetic  Clutch,1299.0,1299.0,Dressberry Black Synthetic  Clutch,1296,1652
129,Zoe Marciano Blue Heavy-duty satin wong fabric  Clutch,1599.0,699.0,Zoe Marciano Blue Heavy-duty satin wong fabric  Clutch,1592,802
130,Asics Gel-Cumulus 17 Running Shoes,9499.0,9499.0,Asics Gel-Cumulus 17 Running Shoes,9484,11076
131,Dressberry Black Synthetic  Clutch,1299.0,1299.0,Dressberry Black Synthetic  Clutch,1292,1487
132,Mast & Harbour Gold Synthetic  Clutch,1899.0,1899.0,Mast & Harbour Gold Synthetic  Clutch,1897,2425
133,Asics Gel-Kayano 22 Running Shoes,12499.0,12499.0,Asics Gel-Kayano 22 Running Shoes,12493,15213
134,Indistar Self Design Viscose Women's Stole,898.0,449.0,Indistar Self Design Viscose Women's Stole,890,571
135,Dressberry Orange Synthetic  Clutch,1899.0,1899.0,Dressberry Orange Synthetic  Clutch,1881,2233
136,Dressberry Gold Synthetic  Clutch,1299.0,1299.0,Dressberry Gold Synthetic  Clutch,1294,1555
137,Dressberry Green Synthetic  Clutch,1899.0,1899.0,Dressberry Green Synthetic  Clutch,1888,2273
138,Zoe Marciano Blue Heavy-duty satin wong fabric  Clutch,1599.0,699.0,Zoe Marciano Blue Heavy-duty satin wong fabric  Clutch,1581,899
139,Escan Lace Up,1299.0,999.0,Escan Lace Up,1282,1155
140,Dressberry Gold Synthetic  Clutch,1299.0,1299.0,Dressberry Gold Synthetic  Clutch,1297,1478
141,Nine Maternity Wear Women's Fit and Flare Dress,1825.0,1825.0,Nine Maternity Wear Women's Fit and Flare Dress,1813,2364
142,"Kleio Festive, Party, Casual Blue PU  Clutch",1899.0,999.0,"Kleio Festive, Party, Casual Blue PU  Clutch",1891,1253
143,Skipper Blends Aqua Striped Eyelet Window Curtain,1733.0,1039.0,Skipper Blends Aqua Striped Eyelet Window Curtain,1731,1279
144,Mizuno Lightweight Hoody Solid Men's Wind Cheater,4999.0,4999.0,Mizuno Lightweight Hoody Solid Men's Wind Cheater,4987,6069
145,"Turbo MSE TEST LITE Batting Gloves (Men, White, Orange)",1637.0,818.0,"Turbo MSE TEST LITE Batting Gloves (Men, White, Orange)",1623,909
146,"Turbo LEAGUE Batting Gloves (Men, White, Blue)",1232.0,616.0,"Turbo LEAGUE Batting Gloves (Men, White, Blue)",1230,717
147,Stamin Mass Gainers,2300.0,1955.0,Stamin Mass Gainers,2284,2495
148,Pure Source Psi-As-Hanggnrlx Relaxing Liquid Air Freshener,1250.0,375.0,Pure Source Psi-As-Hanggnrlx Relaxing Liquid Air Freshener,1238,457
149,"Asian Gems & Jewels 5 Dhaatu Metal, Alloy Opal Ring",2746.0,687.0,"Asian Gems & Jewels 5 Dhaatu Metal, Alloy Opal Ring",2729,760
150,"Asian Gems & Jewels 5 Dhaatu Metal, Alloy Opal Ring",2973.0,743.0,"Asian Gems & Jewels 5 Dhaatu Metal, Alloy Opal Ring",2972,948
151,"Asian Gems & Jewels 5 Dhaatu Metal, Alloy Amethyst Ring",1937.0,968.0,"Asian Gems & Jewels 5 Dhaatu Metal, Alloy Amethyst Ring",1935,1069
152,Kings Multicolor Tassels,1000.0,249.0,Kings Multicolor Tassels,981,274
153,Avsar Sachi Gold Diamond 18 K Ring,16880.0,8440.0,Avsar Sachi Gold Diamond 18 K Ring,16867,10622
154,Nishtaa Yellow Gold 22 K Ring,18350.0,17433.0,Nishtaa Yellow Gold 22 K Ring,18348,21582
155,Van Heusen Men's Printed Party Shirt,2099.0,1469.0,Van Heusen Men's Printed Party Shirt,2092,1794
156,Eshoppee Laughing Buddha For Success And Wealth Showpiece  -  12 cm,799.0,399.0,Eshoppee Laughing Buddha For Success And Wealth Showpiece  -  12 cm,791,463
157,Karatcraft Triniya Promise Gold Diamond 18 K Ring,49999.0,34221.0,Karatcraft Triniya Promise Gold Diamond 18 K Ring,49981,41729
158,Nishtaa Yellow Gold 22 K Ring,8190.0,7781.0,Nishtaa Yellow Gold 22 K Ring,8175,9055
159,Fashion Tree Men's Solid Formal Shirt,999.0,349.0,Fashion Tree Men's Solid Formal Shirt,981,411
160,Fashion Tree Men's Solid Formal Shirt,999.0,349.0,Fashion Tree Men's Solid Formal Shirt,987,418
161,Fashion Tree Men's Solid Formal Shirt,999.0,349.0,Fashion Tree Men's Solid Formal Shirt,996,402
162,Peter England Men's Solid Formal Shirt,1399.0,1399.0,Peter England Men's Solid Formal Shirt,1391,1634
163,Karatcraft Triniya Promise Gold Diamond 18 K Ring,47822.0,32973.0,Karatcraft Triniya Promise Gold Diamond 18 K Ring,47811,41192
164,WearYourShine by PCJ The Joe Gold Diamond 18 K Ring,29366.0,29366.0,WearYourShine by PCJ The Joe Gold Diamond 18 K Ring,29360,33090
165,BlueStone The Juliette Yellow Gold Diamond 18 K Ring,29348.0,22644.0,BlueStone The Juliette Yellow Gold Diamond 18 K Ring,29336,25219
166,Karatcraft Om Gold Diamond 18 K Ring,42068.0,35056.0,Karatcraft Om Gold Diamond 18 K Ring,42052,42730
167,Karatcraft Dulce Gold Diamond 18 K Ring,40267.0,27223.0,Karatcraft Dulce Gold Diamond 18 K Ring,40250,33175
168,Karatcraft Robini Emerald Gold Diamond 18 K Ring,43481.0,36234.0,Karatcraft Robini Emerald Gold Diamond 18 K Ring,43465,44513
169,Karatcraft Om Gold Diamond 18 K Ring,44247.0,36872.0,Karatcraft Om Gold Diamond 18 K Ring,44229,40641
170,Lee Mark Men's Solid Formal Shirt,1699.0,599.0,Lee Mark Men's Solid Formal Shirt,1697,726
171,Clara Certified Katela 8.3 cts or 9.25 ratti Zoya Sterling Silver Amethyst Ring,6160.0,2760.0,Clara Certified Katela 8.3 cts or 9.25 ratti Zoya Sterling Silver Amethyst Ring,6159,3187
172,Clara Certified Katela 6.5 cts or 7.25 ratti Elegant Sterling Silver Amethyst Ring,5270.0,2360.0,Clara Certified Katela 6.5 cts or 7.25 ratti Elegant Sterling Silver Amethyst Ring,5253,2659
173,Clara Certified Katela 3.9 cts or 4.25 ratti Stunning Sterling Silver Amethyst Ring,4210.0,1880.0,Clara Certified Katela 3.9 cts or 4.25 ratti Stunning Sterling Silver Amethyst Ring,4205,2388
174,Clara Certified Katela 6.5 cts or 7.25 ratti 4 Prongs Sterling Silver Amethyst Ring,5270.0,2360.0,Clara Certified Katela 6.5 cts or 7.25 ratti 4 Prongs Sterling Silver Amethyst Ring,5257,2708
175,Clara Certified Katela 5.5 cts or 6.25 ratti Elegant Sterling Silver Amethyst Ring,4750.0,2130.0,Clara Certified Katela 5.5 cts or 6.25 ratti Elegant Sterling Silver Amethyst Ring,4749,2624
176,Clara Certified Katela 3 cts or 3.25 ratti 4 Prongs Sterling Silver Amethyst Ring,3530.0,1570.0,Clara Certified Katela 3 cts or 3.25 ratti 4 Prongs Sterling Silver Amethyst Ring,3517,2012
177,BlueStone The Princess Gold Diamond 18 K Ring,35415.0,26984.0,BlueStone The Princess Gold Diamond 18 K Ring,35399,31992
178,Nishtaa Yellow Gold Cubic Zirconia 22 K Ring,11820.0,11229.0,Nishtaa Yellow Gold Cubic Zirconia 22 K Ring,11805,13242
179,Living World by Home Stop Solid Wood Display Unit,5499.0,5499.0,Living World by Home Stop Solid Wood Display Unit,5487,6426
180,Status Quo Men's Solid Casual Shirt,1699.0,849.0,Status Quo Men's Solid Casual Shirt,1680,1039
181,"Asian Gems & Jewels 6.25 Ratti 5 Dhaatu Sterling Silver, Metal, Alloy Cat's Eye NA K Ring",1656.0,828.0,"Asian Gems & Jewels 6.25 Ratti 5 Dhaatu Sterling Silver, Metal, Alloy Cat's Eye NA K Ring",1639,997
182,"Asian Gems & Jewels 5 Dhaatu Metal, Alloy Zircon Ring",3030.0,757.0,"Asian Gems & Jewels 5 Dhaatu Metal, Alloy Zircon Ring",3024,879
183,WearYourShine by PCJ The Adriyel Gold Diamond 18 K Ring,28963.0,28963.0,WearYourShine by PCJ The Adriyel Gold Diamond 18 K Ring,28959,33423
184,"Asian Gems & Jewels 5.25 Ratti 5 Dhaatu Sterling Silver, Metal, Alloy Coral Ring",1743.0,872.0,"Asian Gems & Jewels 5.25 Ratti 5 Dhaatu Sterling Silver, Metal, Alloy Coral Ring",1733,1078
185,"KuberBox Ravishing Ring White Gold Diamond, Topaz 14K White Gold 14 K Ring",8538.0,8538.0,"KuberBox Ravishing Ring White Gold Diamond, Topaz 14K White Gold 14 K Ring",8537,10209
186,Karatcraft Wadell Gold Diamond 18 K Ring,42321.0,28317.0,Karatcraft Wadell Gold Diamond 18 K Ring,42310,33909
187,Karatcraft Twinoh Gold Diamond 18 K Ring,32528.0,20672.0,Karatcraft Twinoh Gold Diamond 18 K Ring,32511,24154
188,Karatcraft Clariz Gold Diamond 18 K Ring,32658.0,20727.0,Karatcraft Clariz Gold Diamond 18 K Ring,32656,24802
189,Karatcraft Solitana Gold Diamond 18 K Ring,30176.0,20749.0,Karatcraft Solitana Gold Diamond 18 K Ring,30171,25030
190,Karatcraft Celebra Gold Diamond 18 K Ring,32524.0,20586.0,Karatcraft Celebra Gold Diamond 18 K Ring,32510,24566
191,Karatcraft Duilla Ruby Gold Diamond 18 K Ring,49999.0,42262.0,Karatcraft Duilla Ruby Gold Diamond 18 K Ring,49995,53131
192,Karatcraft Journa Gold Diamond 18 K Ring,45345.0,37787.0,Karatcraft Journa Gold Diamond 18 K Ring,45343,44680
193,CaratLane Fantasia Band White Gold Diamond 18 K Ring,31033.0,31033.0,CaratLane Fantasia Band White Gold Diamond 18 K Ring,31016,39989
194,Karigaari Set Of 5 Adivasi Doing Merry On Trumpet Showpiece  -  30 cm,4500.0,2050.0,Karigaari Set Of 5 Adivasi Doing Merry On Trumpet Showpiece  -  30 cm,4489,2449
195,WearYourShine by PCJ The Sharman Gold Diamond 18 K Ring,29292.0,29292.0,WearYourShine by PCJ The Sharman Gold Diamond 18 K Ring,29290,32247
196,Nishtaa Yellow Gold 22 K Ring,6740.0,6403.0,Nishtaa Yellow Gold 22 K Ring,6734,8021
197,Totta Pouch for Sony Xperia M5 Dual,799.0,399.0,Totta Pouch for Sony Xperia M5 Dual,786,464
198,Lee Mark Men's Solid Formal Shirt,1699.0,599.0,Lee Mark Men's Solid Formal Shirt,1697,726
199,Karatcraft Trilic Gold Diamond 18 K Ring,48596.0,30817.0,Karatcraft Trilic Gold Diamond 18 K Ring,48589,35186
200,Karatcraft Wadell Gold Diamond 18 K Ring,44226.0,30741.0,Karatcraft Wadell Gold Diamond 18 K Ring,44221,39578
201,Karatcraft Donna Gold Diamond 18 K Ring,49542.0,34110.0,Karatcraft Donna Gold Diamond 18 K Ring,49537,37951
202,WearYourShine by PCJ The Melina Gold Diamond 18 K Ring,23949.0,23949.0,WearYourShine by PCJ The Melina Gold Diamond 18 K Ring,23934,26722
